row_id,Paragraph_ID,Paragraph,Gold Annotation
297,P190P3,"In all of the radical prostatectomy patient cohorts, prostate cancer with low TTP RNA or protein levels had decreased time to biochemical recurrence or metastasis versus TTP-High tumors. Further, the decreased time to biochemical recurrence in TTP-Low prostate cancer was more pronounced in low-grade tumors. Finally, pooled survival analysis suggests that TTP RNA expression provides independent information beyond CAPRA-S to predict biochemical recurrence.","[{'e1': ' prostate cancer with low TTP RNA or protein levels ', 'e2': 'time to biochemical recurrence or metastasis versus TTP-High tumors.', 'relation': 'had decreased ', 'condition': 'In all of the radical prostatectomy patient cohorts'}]"
298,P190P5,This study suggests that TTP RNA expression can be used to enhance the accuracy of CAPRA-S to predict outcomes in patients treated with radical prostatectomy.,"[{'e1': 'TTP RNA expression ', 'e2': 'the accuracy of CAPRA-S', 'relation': 'can be used to enhance ', 'condition': ' to predict outcomes in patients treated with radical prostatectomy.'}]"
299,P190P7,"Tristetraprolin, an RNA-binding protein involved in controlling mRNA stability, impairs tumor growth and development in a variety of malignancies, including prostate cancer. In a previous study that established TTP’s functions as a tumor suppressor in prostate cancer, analysis of TTP RNA expression in a single prostate cancer patient dataset suggested that low TTP-expressing primary tumors may have increased rates of biochemical recurrence compared to high TTP-expressing prostate cancer. To more fully assess whether TTP is a prognostic biomarker that identifies prostate cancer patients with an increased risk of poor clinical outcomes, we evaluated two prostate cancer patient cohorts from Moffitt Cancer Center for TTP RNA or TTP protein expression, as well as six independent prostate cancer genomic datasets having post-surgical clinical follow-up from multiple medical institutions. Our findings establish that TTP alone is a clinically relevant prostate cancer biomarker that provides an improvement over clinical and pathologic variables to predict which patients may harbor aggressive disease.","[{'e1': 'Tristetraprolin ', 'e2': ' tumor growth and development ', 'relation': 'impairs', 'condition': 'in a variety of malignancies, including prostate cancer'}]"
300,P190P8,"In conclusion, the tumor suppressor TTP is a clinically relevant prognostic prostate cancer biomarker that could be used in determining which patients will have poor clinical outcomes at the time of radical prostatectomy, and may improve the effectiveness of CAPRA-S. Notably, TTP performs particularly well as a biomarker in low-grade prostate cancer patients where much controversy exists on appropriate management options. The ability to use TTP to more accurately identify clinically low-risk patients who may harbor aggressive disease will enable physicians to more accurately risk-stratify their patients for appropriate therapy recommendations and will prevent overtreatment of potentially indolent disease.","[{'e1': ' TTP ', 'e2': 'a biomarker', 'relation': 'performs particularly well as ', 'condition': ' in low-grade prostate cancer patients where much controversy exists on appropriate management options'}]"
301,P191P1,"Prostate cancer (PCa) is one of the most prevalent cancer types in men. Biochemical recurrence continues to occur in a large proportion of patients after radical prostatectomy. Thus, prognostic biomarkers are required to determine which treatment is suitable. In the present study, RNA-sequencing gene expression data from The Cancer Genome Atlas was used in order to develop a risk-score staging system based on the expression of eight genes. Cox multivariate regression was used to predict the outcome of patients with PCa. The biochemical recurrence-free survival of patients with low-risk scores was significantly longer compared with patients with high-risk scores. This result was further validated using another dataset, GSE70769, from the National Center for Biotechnology Information. The prognostic values of other clinical information and risk scores were evaluated for 5-year biochemical recurrence. The prognostic value of the risk score was determined using an area under curve value of 0.819, predicting the 5-year biochemical recurrence of patients with PCa. The risk score was identified to be significantly associated with primary tumor stage, Gleason score, and lymph node invasion, but was independent of age. Cox multivariate regression revealed that the risk score was an indicator for prediction of biochemical recurrence. Thus, the risk score is a valuable and robust indicator for predicting the biochemical recurrence of patients with PCa.","[{'e1': ' Biochemical recurrence ', 'e2': 'a large proportion of patients ', 'relation': 'continues to occur in ', 'condition': 'after radical prostatectomy'}, {'e1': ' RNA-sequencing gene expression data from The Cancer Genome Atlas ', 'e2': 'a risk-score staging system ', 'relation': 'was used in order to develop ', 'condition': 'based on the expression of eight genes'}]"
302,P191P2,"Prostate cancer (PCa) is one of the most prevalent cancer types in men; in 2015, there were 60,300 newly diagnosed cases of PCa in China, resulting in 26,000 mortalities. Disease recurrence has been reported in a large proportion of patients following radical prostatectomy, and castration-resistant disease typically develops as a result. Although prognostic and clinical indicators were implemented, the prognostic effect was not fully understood. Thus, clinical biomarkers for PCa biochemical recurrence are required. Huang et al used long non-coding RNAs to develop a prediction model for biochemical recurrence; however, the analysis lacked validation datasets.","[{'e1': 'Disease recurrence ', 'e2': 'a large proportion of patients ', 'relation': 'has been reported in ', 'condition': 'following radical prostatectomy'}]"
303,P192P1,"Pentatricopeptide repeat domain protein 3 (PTCD3) is a mitochondrial RNA-binding protein that serves a role in mitochondrial translation. PTCD3 was originally reported as an oncogene that is involved in breast cancer and lymphoma. However, the expression and function of PTCD3 in prostate cancer (PCa) are unknown. Therefore, the aim of the present study was to investigate the expression of PTCD3 and its clinical significance in PCa. Immunohistochemistry and dataset analyses revealed that PTCD3 protein expression levels were enhanced in human PCa tissues and mouse PCa models. PTCD3 expression levels were positively correlated with advanced PCa pathological grade and clinical stage. Additionally, PTCD3 mRNA expression was positively correlated with tissue malignancy, high Gleason score and distant metastasis in The Cancer Genome Atlas dataset. Kaplan-Meier analysis revealed that high PTCD3 levels can predict the increased biochemical recurrence (BCR)-free survival in all patients with or without metastasis. The overexpression of PTCD3 could be used as an independent prognostic marker of poor BCR-free survival. Immunofluorescence and western blot analysis in human PCa cell lines further confirmed that PTCD3 levels were associated with the hormone independence of PCa. Therefore, the present study revealed that PTCD3 levels may serve as a novel biomarker for PCa prognosis.","[{'e1': 'PTCD3 mRNA expression ', 'e2': 'tissue malignancy', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'PTCD3 mRNA expression ', 'e2': ' high Gleason score ', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'PTCD3 mRNA expression ', 'e2': 'distant metastasis ', 'relation': 'was positively correlated with ', 'condition': 'in The Cancer Genome Atlas dataset'}, {'e1': 'high PTCD3 levels ', 'e2': 'increased biochemical recurrence (BCR)-free survival ', 'relation': 'can predict the ', 'condition': 'in all patients with or without metastasis'}, {'e1': 'PTCD3 levels ', 'e2': 'a novel biomarker ', 'relation': 'may serve as ', 'condition': 'for PCa prognosis.'}]"
304,P192P2,"Prostate cancer (PCa) is the most commonly diagnosed male cancer in Western countries and the second leading cause of death in the US. Approximately 164,690 people are diagnosed with PCa, which cause approximately 9% of cancer-related deaths among American men. PCa is a heterogeneous and multi-focal cancer with highly variable natural history, causing difficulty in predicting its initiation, progression and prognosis. The combination of Gleason score, TNM stage, lymph node status and serum prostate-specific antigen (PSA) level has been commonly used to predict the prognosis of patients with PCa. PSA testing is widely used for the early clinical diagnosis of PCa, but its true value remains controversial because of its poor tumour specificity. According to statistics, PSA testing may have led to false positives in 23-42% of all diagnosed cases; furthermore, the patients receiving treatments, such as radical prostatectomy or radiotherapy, must pay substantial costs and subject themselves to serious side effects. Approximately 25% of patients with PCa suffer from biochemical recurrence (BCR) following radical prostatectomy. Therefore, identifying methods that can be used to correctly distinguish indolent and aggressive cancers and finding novel and effective biomarkers are critical to improve the understanding of the biological progression of PCa and to advance the diagnosis and prognosis of PCa in clinics.","[{'e1': 'Approximately 25% of patients with PCa ', 'e2': ' biochemical recurrence (BCR) ', 'relation': 'suffer from', 'condition': 'following radical prostatectomy'}]"
305,P192P5,"In conclusion, our data strongly suggested that PTCD3 overexpression may play an important role in the characteristics and aggressive behaviour of PCa, especially in groups with advanced pathological or clinical stage and high Gleason score. Additionally, PTCD3 upregulation is associated with poor prognosis in patients with PCa. This protein may be a novel prognostic biomarker for PCa and a potential therapeutic target for patients with PCa. However, further study is necessary to gain a full understanding of the underlying molecular mechanisms.","[{'e1': 'PTCD3 upregulation ', 'e2': 'poor prognosis ', 'relation': 'is associated with ', 'condition': 'in patients with PCa'}]"
306,P193P2,"Prostate cancer remains a major clinical burden, being the most prevalent cancer and one of the leading causes of cancer-specific deaths in North American men. It is a clinically heterogeneous disease wherein the majority of cancers display a favorable outcome, while a subset affecting a considerable number of patients progress to metastatic and lethal stage. Radical prostatectomy or radiation therapy is considered the standard primary treatment option for localized prostate cancer and more recently, active surveillance has emerged as a viable alternative for patients presenting favorable clinicopathologic features. One of the key challenges in the clinical management of prostate cancer is to accurately distinguish indolent from aggressive tumors in order to avoid overtreatment of clinically insignificant cancers and undertreatment of tumors with metastatic potential.","[{'e1': 'Radical prostatectomy or radiation therapy', 'e2': 'the standard primary treatment option ', 'relation': ' is considered ', 'condition': 'for localized prostate cancer'}]"
307,P193P4,"Copy number alterations such as deletion of chromosome 10q23 (PTEN) and gain of 16p13.3 (PDPK1) are detected at higher frequency in lymph node metastases than in primary tumors, suggesting a role in prostate cancer progression. The phosphatase and tensin homolog deleted on chromosome 10 (PTEN) protein is a tumor suppressor that negatively regulates the phosphatidylinositol 3-kinase/AKT survival pathway. Encoded by PDPK1, 3-Phosphoinositide-dependent protein kinase-1 (PDK1) phosphorylates and activates the AGC kinase members regulated by phosphatidylinositol 3-kinase, including AKT. In addition to its kinase activity on AKT, our laboratory has shown that PDK1 also has an important role in prostate cancer cell migration. PTEN deletion has been shown to be associated with poor outcome in prostate cancer after radical prostatectomy. Recently, we reported that the 16p13.3 gain was also associated with adverse outcome after radical prostatectomy. In the current study, we demonstrated that the PTEN genomic deletion measured by FISH is a strong independent predictor of poor clinical outcome after radical prostatectomy, including in low-intermediate risk patients and showed that the combination of PTEN deletion and 16p13.3 gain status improved patient risk stratification.","[{'e1': 'Copy number alterations ', 'e2': 'higher frequency', 'relation': 'are detected at ', 'condition': ' in lymph node metastases than in primary tumors'}, {'e1': ' PTEN deletion ', 'e2': ' poor outcome ', 'relation': 'has been shown to be associated with', 'condition': 'in prostate cancer '}, {'e1': ' PTEN deletion ', 'e2': ' poor outcome in prostate cancer ', 'relation': 'has been shown to be associated with', 'condition': 'after radical prostatectomy'}, {'e1': 'PTEN genomic deletion measured by FISH', 'e2': 'poor clinical outcome ', 'relation': ' is a strong independent predictor of ', 'condition': 'after radical prostatectomy'}]"
308,P193P5,"In summary, the results of our study support the prognostic value of PTEN deletion in prostate cancer, which can be further improved in combination with 16p13.3 gain status, suggesting that these genomic alterations may cooperatively contribute to prostate cancer progression. DNA copy number analysis of PTEN and 16p13.3 could be of important clinical value particularly for preoperative risk assessment of the clinically most challenging group of low-grade and intermediate-grade prostate cancer.","[{'e1': 'the results of our study', 'e2': 'prognostic value of PTEN deletion ', 'relation': ' support the ', 'condition': 'in prostate cancer'}]"
309,P194P3,"Baseline mean age, PSA, and GPS score for the cohort were 61.1 years, 8 ng/dL, and 32.8. PTEN loss was noted in 38% of patients by fluorescence in situ hybridization and 25% by immunohistochemistry. The concordance between fluorescence in situ hybridization and immunohistochemistry for PTEN loss was 66%. In univariable analysis, loss of PTEN by fluorescence in situ hybridization or immunohistochemistry was associated with BCR and CR. However, after adjusting for GPS results, PTEN loss was not a significant predictor for CR or BCR. The GPS result remained strongly associated with CR and BCR after adjusting for PTEN status. PTEN status and GPS results only weakly correlated. GPS was widely distributed regardless of PTEN status, indicating the biological heterogeneity of PCa even in PTEN-deficient cases.","[{'e1': 'PTEN loss ', 'e2': '38% of patients ', 'relation': 'was noted in ', 'condition': 'by fluorescence in situ hybridization '}, {'e1': 'PTEN loss ', 'e2': '25% of patients ', 'relation': 'was noted in ', 'condition': 'by immunohistochemistry'}, {'e1': ' loss of PTEN by fluorescence in situ hybridization or immunohistochemistry ', 'e2': 'BCR ', 'relation': 'was associated with ', 'condition': ' In univariable analysis'}, {'e1': ' loss of PTEN by fluorescence in situ hybridization or immunohistochemistry ', 'e2': 'CR', 'relation': 'was associated with ', 'condition': ' In univariable analysis'}, {'e1': 'The GPS result ', 'e2': 'CR ', 'relation': 'remained strongly associated with ', 'condition': 'after adjusting for PTEN status'}, {'e1': 'The GPS result ', 'e2': 'BCR ', 'relation': 'remained strongly associated with ', 'condition': 'after adjusting for PTEN status'}]"
310,P194P4,"GPS is a significant predictor of aggressive PCa, independent of PTEN status. After adjustment for GPS results, PTEN was not independently associated with recurrence for PCa.","[{'e1': 'GPS ', 'e2': 'aggressive PCa ', 'relation': 'is a significant predictor of ', 'condition': 'independent of PTEN status'}, {'e1': ' PTEN ', 'e2': 'recurrence for PCa.', 'relation': 'was not independently associated with ', 'condition': 'After adjustment for GPS results'}]"
311,P194P5,"With increased understanding of molecular pathways of prostate cancer development and progression, several biomarkers for disease aggressiveness have been identified. PTEN, a tumor suppressor gene located on chromosome 10, has been identified as one such biomarker. PTEN expression loss has been noted in 10%-34% of PCa cases and is linked to higher Gleason grade group, advanced tumor stage, and lymph node metastases. Another such biomarker assay, Genomic Prostate Score, has been clinically validated as a predictor of adverse pathology and recurrence noted after radical prostatectomy for clinically localized PCa.","[{'e1': 'Genomic Prostate Score ', 'e2': 'a predictor of adverse pathology and recurrence ', 'relation': 'has been clinically validated as ', 'condition': 'after radical prostatectomy for clinically localized PCa.'}]"
312,P194P8,"The 17-gene GPS assay can significantly predict biochemical recurrence and clinical recurrence after radical prostatectomy independent of PTEN status in men with clinically localized PCa. The GPS assay can risk stratify within PTEN categories and it can help identify patients with PTEN deletion with favorable outcomes, and patients with intact PTEN with unfavorable outcomes.","[{'e1': 'The 17-gene GPS assay ', 'e2': 'biochemical recurrence ', 'relation': 'can significantly predict ', 'condition': 'after radical prostatectomy independent of PTEN status in men with clinically localized PCa '}, {'e1': 'The 17-gene GPS assay ', 'e2': 'clinical recurrence ', 'relation': 'can significantly predict ', 'condition': 'after radical prostatectomy independent of PTEN status in men with clinically localized PCa '}]"
313,P195P6,"In this study, we show that ANO7, a gene specifically expressed in the prostate, is a promising biomarker to predict PrCa aggressiveness. We identified two pathogenic variants that could possibly be utilized in genetic testing of PrCa patients. The stop-gain variant rs148609049 in exon 1 contributes to decreased survival time. The splice site/missense variant rs77559646 in exon 4 increases the risk of PrCa and is also associated with aggressive PrCa. The same variant is an eQTL for ANO7, and high mRNA levels of ANO7 strongly correlate with poor survival. ANO7 gene expression is highly elevated in PrCa tumors versus normal prostate tissue, and high expression strongly increases the PrCa patient mortality rate. These findings should spur further research to elucidate the regulatory networks of ANO7.","[{'e1': 'The stop-gain variant rs148609049 ', 'e2': 'decreased survival time', 'relation': 'contributes to ', 'condition': ' in exon 1 '}, {'e1': 'The splice site/missense variant rs77559646', 'e2': 'the risk of PrCa ', 'relation': ' increases ', 'condition': ' in exon 4'}, {'e1': 'The splice site/missense variant rs77559646', 'e2': 'aggressive PrCa', 'relation': 'is also associated with ', 'condition': ' in exon 4'}]"
314,P196P3,"By NCCN subclassification, 33 (27.3%) and 87 (71.9%) of men were classified as having favorable and unfavorable IR-PCa, respectively (1 case unclassifiable). GC scores were high in 3 favorable IR-PCa and low in 60 unfavorable IR-PCa. Higher GC scores, but not NCCN risk subgroups, were associated with biochemical relapse (hazard ratio, 1.36; 95% confidence interval, 1.09-1.71 per 10% increase; P = .007) and metastasis (hazard ratio, 2.05; 95% confidence interval, 1.24-4.24; P = .004). GC predicted biochemical failure at 5 years (area under the curve, 0.78; 95% confidence interval, 0.59-0.91), and the combinatorial NCCN + GC model significantly outperformed the NCCN alone model for predicting early-onset metastasis (area under the curve for 5-year metastasis of 0.89 vs 0.86 [GC alone] vs 0.54 [NCCN alone]).","[{'e1': ' GC ', 'e2': ' biochemical failure ', 'relation': 'predicted', 'condition': 'at 5 years'}]"
315,P196P5,"Image guided radiation therapy (IGRT) represents a primary treatment modality for localized prostate cancer. Prospective evidence supports combination androgen deprivation therapy (ADT) and IGRT to both improve local control (ie, radiosensitization) and target occult metastases, reducing the disease-specific mortality in high-risk prostate cancer. However, the benefit of systemic intensification is debatable for intermediate-risk prostate cancer (IR-PCa), especially when treated with dose-escalated IGRT (DE-IGRT). The National Comprehensive Cancer Network (NCCN) now endorses including additional factors to subclassify an unfavorable IR-PCa subgroup that is at higher risk of metastatic relapse and prostate cancer-specific mortality and therefore more likely to benefit from combined modality treatments such as ADT with radiation therapy (RT).","[{'e1': 'combination androgen deprivation therapy (ADT) and IGRT ', 'e2': 'the disease-specific mortality ', 'relation': 'reduces', 'condition': 'in high-risk prostate cancer'}]"
316,P196P7,"Here, we evaluate the validity of the 22-gene GC test performed on diagnostic biopsies, accounting for clinicopathologic NCCN risk grouping, for predicting biochemical and metastatic relapse in a cohort of IR-PCa treated with single-modality DE-IGRT at a tertiary cancer center. Of note, there has been only 1 prior study reporting on the utility of a biopsy-derived GC score; it focused on a mixed cohort of intermediate- and high-risk PCa treated with combined ADT and RT. We show that the GC score outperforms the NCCN criteria in distinguishing patients with IR-PCa with favorable outcomes after DE-IGRT without ADT from those who are at risk of metastatic relapse. The GC test may thus be useful for personalizing treatment strategies in IR-PCa, providing actionable information to identify men who should receive combination ADT and DE-IGRT.","[{'e1': ' GC score ', 'e2': 'the NCCN criteria ', 'relation': 'outperforms ', 'condition': 'in distinguishing patients with IR-PCa with favorable outcomes after DE-IGRT without ADT from those who are at risk of metastatic relapse'}, {'e1': 'The GC test ', 'e2': 'personalizing treatment strategies ', 'relation': 'may thus be useful for ', 'condition': 'in IR-PCa'}]"
317,P197P1,"The level of copy number alteration, termed CNA burden, in the tumor genome is associated with recurrence of primary prostate cancer. Whether CNA burden is associated with prostate cancer survival or outcomes in other cancers is unknown. We analyzed the CNA landscape of conservatively treated prostate cancer in a biopsy and transurethral resection cohort, reflecting an increasingly common treatment approach. We find that CNA burden is prognostic for cancer-specific death, independent of standard clinical prognosticators. More broadly, we find CNA burden is significantly associated with disease-free and overall survival in primary breast, endometrial, renal clear cell, thyroid, and colorectal cancer in TCGA cohorts. To assess clinical applicability, we validated these findings in an independent pan-cancer cohort of patients whose tumors were sequenced using a clinically certified next generation sequencing assay, where prognostic value varied based on cancer type. This prognostic association was affected by incorporating tumor purity in some cohorts. Overall, CNA burden of primary and metastatic tumors is a prognostic factor, potentially modulated by sample purity and measurable by current clinical sequencing.","[{'e1': 'The level of copy number alteration, termed CNA burden,', 'e2': 'recurrence of primary prostate cancer', 'relation': ' is associated with ', 'condition': 'in the tumor genome'}, {'e1': 'CNA burden ', 'e2': ' disease-free and overall survival ', 'relation': 'is significantly associated with', 'condition': 'in primary breast cancer in TCGA cohorts'}, {'e1': 'CNA burden ', 'e2': ' disease-free and overall survival ', 'relation': 'is significantly associated with', 'condition': 'in endometrial cancer in TCGA cohorts'}, {'e1': 'CNA burden ', 'e2': ' disease-free and overall survival ', 'relation': 'is significantly associated with', 'condition': 'in renal clear cell cancer in TCGA cohorts'}, {'e1': 'CNA burden ', 'e2': ' disease-free and overall survival ', 'relation': 'is significantly associated with', 'condition': 'in thyroid cancer in TCGA cohorts'}, {'e1': 'CNA burden ', 'e2': ' disease-free and overall survival ', 'relation': 'is significantly associated with', 'condition': 'in colorectal cancer in TCGA cohorts'}]"
318,P197P3,"The CNA burden of a tumor is the degree to which a tumor’s genome is altered as a percentage of genome length and represents a fundamental measure of genome copy number alteration level. As such, tumor CNA burden, rather than individual CNAs, may be associated with cancer outcomes. While tumor mutational burden predicts response to immunotherapy across multiple cancer types, tumor CNA burden may be prognostic for outcomes such as recurrence and survival. Indeed, we and others have previously found CNA burden and genome-wide CNA patterns to be associated with biochemical recurrence and metastasis in primary prostate cancer, the most common cancer in men, across multiple cohorts. This prognostic significance of tumor CNA burden extends to low and intermediate risk prostate cancer and has the potential to better stratify risk in patients who are considering conservative treatment approaches such as active surveillance to reduce overtreatment.","[{'e1': ' CNA burden', 'e2': 'biochemical recurrence ', 'relation': 'are associated with ', 'condition': 'in primary prostate cancer'}, {'e1': ' genome-wide CNA patterns ', 'e2': 'biochemical recurrence ', 'relation': 'are associated with ', 'condition': 'in primary prostate cancer'}, {'e1': ' CNA burden', 'e2': 'metastasis ', 'relation': 'are associated with ', 'condition': 'in primary prostate cancer'}, {'e1': ' genome-wide CNA patterns ', 'e2': 'metastasis ', 'relation': 'are associated with ', 'condition': 'in primary prostate cancer'}]"
319,P197P5,"To address these questions, we first examine the genomic CNA landscape of conservatively treated prostate cancer in more than a hundred diagnostic biopsy and resection specimens from a conservatively treated cohort; this cohort consisted of patients with localized prostate cancer who were not treated with surgery or radiation within six months of diagnosis. We demonstrate that tumor CNA burden is associated with cancer-specific death, independent of standard clinical predictors. To explore the prognostic significance of tumor CNA burden more broadly in other cancer types, we find that tumor CNA burden is also associated with disease-free and overall survival in TCGA cohorts of primary breast, endometrial, renal clear cell, thyroid, and colorectal cancer in addition to prostate cancer, with the degree of association varying in some cancer types. We then establish the clinical feasibility of measuring tumor CNA burden using the FDA-cleared MSK-IMPACT clinical next generation sequencing assay and confirm that tumor CNA burden is associated with overall and disease-specific survival in both primary and metastatic tumors across cancer types. In all, we demonstrate that tumor CNA burden is a prognostic factor associated with cancer recurrence and death in multiple cancer types, including in conservatively treated prostate cancer which would benefit from increased risk stratification.","[{'e1': 'tumor CNA burden ', 'e2': 'cancer-specific death', 'relation': 'is associated with ', 'condition': 'independent of standard clinical predictors'}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in TCGA cohorts of primary breast cancer'}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in TCGA cohorts of endometrial cancer'}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in TCGA cohorts of renal clear cell cancer'}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in TCGA cohorts of thyroid cancer'}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in TCGA cohorts of colorectal cancer '}, {'e1': 'CNA burden ', 'e2': 'disease-free and overall survival ', 'relation': 'is also associated with ', 'condition': 'in prostate cancer'}, {'e1': ' tumor CNA burden ', 'e2': 'overall and disease-specific survival ', 'relation': 'is associated with ', 'condition': 'in primary tumors across cancer types'}, {'e1': ' tumor CNA burden ', 'e2': 'overall and disease-specific survival ', 'relation': 'is associated with ', 'condition': 'in metastatic tumors across cancer types'}, {'e1': ' tumor CNA burden ', 'e2': 'cancer recurrence ', 'relation': 'is a prognostic factor associated with ', 'condition': 'in multiple cancer types'}, {'e1': ' tumor CNA burden ', 'e2': 'death ', 'relation': 'is a prognostic factor associated with ', 'condition': 'in multiple cancer types'}]"
320,P197P6,"The prognostic significance of tumor CNA burden raises intriguing questions regarding the underlying biology. Tumor CNA burden may be a simple measure that correlates with the extent of oncogenic driver alterations. Yet, we show that tumor CNA burden retains its prognostic significance after adjustment for a number of known oncogenic alterations in primary prostate cancer, including PTEN loss associated with increased tumor CNA burden. In metastatic tumors, combining tumor CNA burden with TP53 or RB1 loss in multivariable analyses renders both slightly below conventional significance thresholds, raising the possibility of biological interplay between these genes, particularly TP53, and subsequent copy number alteration that develops during tumor evolution. Further, the prognostic associations of tumor CNA burden are independent of tumor ploidy, which suggests that tumor CNA burden may not simply reflect aneuploidy, defined as abnormal DNA content. It is also possible that tumor CNA burden captures prognostic information about currently unidentified driver alterations and/or the rate of ongoing CNA within a tumor that may generate additional driver alterations, including those reflecting intratumoral heterogeneity, thereby affecting outcome. Ongoing work by others has begun to develop genomic methods for identifying mechanisms of somatic CNA and identify prognostic CNA signatures and the mechanisms underlying the component CNA. Ultimately, the biology underlying the significant association of tumor CNA burden with multiple cancer outcomes will be a fruitful area for future investigation.","[{'e1': 'tumor CNA burden ', 'e2': 'prognostic significance ', 'relation': 'retains its ', 'condition': 'after adjustment for a number of known oncogenic alterations in primary prostate cancer'}]"
321,P198P3,"Interplay of HOXB13 (G84E) and CIP2A (R229Q) variants results in the highest observed inherited prostate cancer risk. In addition, this synergism indicates a significant association of HOXB13 T and CIP2A T dual carriers with elevated risk for high Gleason score and worse prostate cancer-specific life expectancy, and it is linked with high PSA at diagnosis. Furthermore, combined high expression of HOXB13-CIP2A correlates with earlier biochemical recurrence. Finally, functional experiments showed that ectopic expression of variants stimulates prostate cancer cell growth and migration. In addition, strong chromatin binding of HOXB13 at the CIP2A locus was observed, and HOXB13 was shown to functionally promote CIP2A transcription. The study is limited to retrospective Nordic cohorts.","[{'e1': 'HOXB13 T and CIP2A T dual carriers ', 'e2': 'high PSA ', 'relation': 'are linked with ', 'condition': 'at diagnosis'}]"
322,P198P6,"One of the strongest prostate cancer risk predictors is the rare recurrent and highly penetrant missense mutation rs138213197/G84E in HOXB13, which codes a homeobox transcription factor that is important in prostate development. There are few additional HOXB13 variants identified in U.S. Caucasians. However, the G84E is a Finnish founder mutation and was recently found to be linked to androgen receptor cistrome reprogramming through cooperating with the pioneer factor FOXA1 in human prostate tumorigenesis. Sharing common haplotype in mutation carriers suggested a founder effect, which was estimated to occur in 1792 in Finland. It is present in 8.4% of Finnish familial prostate cancer cases and represents significantly increased prostate cancer risk also in unselected cases. In unselected prostate cancer cases, the G84E variant was also associated with a considerable risk of prostate cancer in Swedish and UK populations. G84E mutation has been connected with early-onset, familial cases worldwide and explains partly the hereditary component of prostate cancer. Although overexpression of HOXB13 has been linked to several prognostic predictors of prostate cancer and prostate tumorigenesis in men, the associations of G84E with prostate cancer clinical outcomes are not fully known.","[{'e1': ' the G84E ', 'e2': 'androgen receptor cistrome reprogramming ', 'relation': 'is found to be linked to ', 'condition': 'through cooperating with the pioneer factor FOXA1 in human prostate tumorigenesis'}, {'e1': ' the G84E variant ', 'e2': 'a considerable risk of prostate cancer in Swedish and UK populations', 'relation': 'was also associated with ', 'condition': 'In unselected prostate cancer cases'}, {'e1': 'overexpression of HOXB13 ', 'e2': 'several prognostic predictors of prostate cancer ', 'relation': 'has been linked to ', 'condition': 'in men'}, {'e1': 'overexpression of HOXB13 ', 'e2': 'several prognostic predictors of prostate tumorigenesis ', 'relation': 'has been linked to ', 'condition': 'in men'}]"
323,P198P7,"Protein Phosphatase 2A has recently emerged as a potential prostate cancer tumor suppressor. Tumor-suppressor activity of PP2A is inhibited in many cancers by overexpression of endogenous inhibitor proteins, such as SET and CIP2A. Importantly, expression of SET and CIP2A is associated with high Gleason scores and the presence of metastatic disease. CIP2A protein expression is increased in a variety of cancers, including prostate cancer, where it has been associated with castration-resistant prostate cancer. Recently, depletion of CIP2A in CRPC cell lines was shown to sensitize the cells to therapeutic agents. However, even though CIP2A can be considered functionally as a cancer driver protein, genetic evidence for CIP2A mutations in human cancers is very rare. The only genetic study to date of CIP2A in human cancer found that it exerted a synergetic effect with the exonic missense mutation rs2278911, C/T, exon 6, p. R229Q, on the risk of hepatocellular carcinoma in hepatitis B and C virus infection in a Han Chinese population. The high prevalence of C carriers, together with observation that the allele is not associated with hepatocellular carcinoma risk but only has a role in the context of hepatitis infection, suggests that the CIP2A rs2278911 variant might constitute a cooperating oncogene. However, neither the prevalence of rs2278911 in other populations or disease groups, nor the interaction with other genes, nor the potential functional role of this mutation has been studied thus far.","[{'e1': 'Tumor-suppressor activity of PP2A ', 'e2': 'many cancers ', 'relation': 'is inhibited in ', 'condition': 'by overexpression of endogenous inhibitor proteins, such as SET and CIP2A'}]"
